IP_Address	Date_Time	Request_Method	Requested_Resource	Status_Code	Bytes_Sent
138.197.64.71	05/Nov/2019:21:26:12	GET	/2017/07/10/shell-script-basic-5/	200	5014
138.197.64.71	05/Nov/2019:21:26:12	GET	/2019/07/15/java-heap-dump-analysis/	200	5556
138.197.64.71	05/Nov/2019:21:26:12	GET	/about/	200	4373
138.197.64.71	05/Nov/2019:21:26:12	GET	/2019/01/12/object-orientation-fact-and-misunderstanding/	200	7611
138.197.64.71	05/Nov/2019:21:26:12	GET	/2018/07/31/test-in-multiple-environments-using-pyenv-and-tox/	200	6013
138.197.64.71	05/Nov/2019:21:26:13	GET	/tag/python/	200	3625
138.197.64.71	05/Nov/2019:21:26:13	GET	/tag/django/	200	3560
138.197.64.71	05/Nov/2019:21:26:13	GET	/tag/java/	200	2275
138.197.64.71	05/Nov/2019:21:26:13	GET	/tag/mysql/	200	2504
138.197.64.71	05/Nov/2019:21:26:13	GET	/tag/postgresql/	200	2563
138.197.64.71	05/Nov/2019:21:26:13	GET	/tag/docker/	200	2715
138.197.64.71	05/Nov/2019:21:26:14	GET	/tag/linux/	200	3079
138.197.64.71	05/Nov/2019:21:26:14	GET	/tag/git/	200	2506
138.197.64.71	05/Nov/2019:21:26:14	GET	/tag/ruby-on-rails/	200	2267
138.197.64.71	05/Nov/2019:21:26:14	GET	/tag/html/	200	2372
138.197.64.71	05/Nov/2019:21:26:14	GET	/tag/study/	200	3144
138.197.64.71	05/Nov/2019:21:26:14	GET	/tag/etc/	200	3389
138.197.64.71	05/Nov/2019:21:26:14	GET	/rss/	200	33378
138.197.64.71	05/Nov/2019:21:26:14	GET	/page/2/	200	3332
138.197.64.71	05/Nov/2019:21:26:15	GET	/author/jupiny/	200	3599
66.249.75.40	05/Nov/2019:21:35:05	GET	/2019/01/12/object-orientation-fact-and-misunderstanding/amp/	200	9224
66.249.75.40	05/Nov/2019:21:41:56	GET	/2017/11/25/step-by-step-page-using-django-session/amp/	200	6930
77.75.79.109	05/Nov/2019:21:42:13	GET	/robots.txt	200	72
77.75.79.109	05/Nov/2019:21:42:16	GET	/sitemap-pages.xml	200	517
66.249.75.42	05/Nov/2019:21:49:54	GET	/2019/03/19/revert-commits-in-remote-repository/amp/	200	7954
54.198.46.11	05/Nov/2019:21:54:34	GET	/rss/	200	33378
34.234.83.219	05/Nov/2019:21:56:24	HEAD	/	301	0
34.234.83.219	05/Nov/2019:21:56:24	HEAD	/	200	0
66.249.75.40	05/Nov/2019:21:56:56	GET	/2017/03/28/paging-segmentation/amp/	200	5889
66.249.75.40	05/Nov/2019:21:57:15	GET	/2018/01/31/prepare-for-employment-as-developer/	200	9108
66.249.75.42	05/Nov/2019:22:01:08	GET	/2017/07/12/certbot-renew-failure-on-nginx/	200	5896
172.105.23.36	05/Nov/2019:22:08:58	GET	/	400	172
35.193.3.132	05/Nov/2019:22:08:59	GET	/robots.txt	301	184
35.193.3.132	05/Nov/2019:22:09:00	GET	/robots.txt	200	72
35.193.3.132	05/Nov/2019:22:09:00	GET	/	301	184
35.193.3.132	05/Nov/2019:22:09:00	GET	/	200	3835
66.249.75.38	05/Nov/2019:22:13:36	GET	/2017/07/12/certbot-renew-failure-on-nginx/amp/	200	7493
66.249.75.42	05/Nov/2019:22:13:36	GET	/robots.txt	200	72
66.249.75.38	05/Nov/2019:22:13:56	GET	/2016/10/23/models-circular-import-dependencies/amp/	304	0
66.249.75.38	05/Nov/2019:22:18:25	GET	/2016/10/05/crawling-beatifulsoup/	200	5250
222.107.113.225	05/Nov/2019:22:26:10	GET	/2017/11/07/docker-mysql-replicaiton/	200	6939
222.107.113.225	05/Nov/2019:22:26:10	GET	/assets/css/screen.css?v=6ea3fea03b	200	9999
222.107.113.225	05/Nov/2019:22:26:10	GET	/assets/js/jquery.fitvids.js?v=6ea3fea03b	200	1198
222.107.113.225	05/Nov/2019:22:26:10	GET	/assets/js/index.js?v=6ea3fea03b	200	651
222.107.113.225	05/Nov/2019:22:26:10	GET	/assets/fonts/casper-icons.woff?v=1	200	2580
222.107.113.225	05/Nov/2019:22:26:12	GET	/favicon.ico	200	91
66.249.75.42	05/Nov/2019:22:28:30	GET	/2018/11/30/mysql-transaction-isolation-levels	301	5
66.249.75.38	05/Nov/2019:22:28:31	GET	/2018/11/30/mysql-transaction-isolation-levels/	200	7065
103.35.168.170	05/Nov/2019:22:30:36	GET	/	301	184
66.249.75.40	05/Nov/2019:22:31:15	GET	/2019/07/15/java-heap-dump-analysis/amp/	304	0
40.77.167.158	05/Nov/2019:22:31:42	GET	/2016/09/25/decorator-function/	200	5415
40.77.190.112	05/Nov/2019:22:31:47	GET	/assets/fonts/casper-icons.ttf?v=1	200	2504
40.77.167.158	05/Nov/2019:22:31:48	GET	/robots.txt	301	184
40.77.167.158	05/Nov/2019:22:31:49	GET	/robots.txt	200	72
66.249.75.40	05/Nov/2019:22:32:53	GET	/2019/03/19/revert-commits-in-remote-repository/amp/	304	0
77.75.76.166	05/Nov/2019:22:34:38	GET	/robots.txt	200	72
77.75.76.166	05/Nov/2019:22:34:41	GET	/author/jupiny/	200	3599
